0.043 2.24241e-09 8.93481e-09 1.11772e-08
0.044 2.13258e-09 9.04369e-09 1.11763e-08
0.045 2.02624e-09 9.14916e-09 1.11754e-08
0.046 1.93724e-09 9.2375e-09 1.11747e-08
0.047 1.87616e-09 9.2982e-09 1.11744e-08
0.048 1.8489e-09 9.32543e-09 1.11743e-08
0.049 1.85604e-09 9.31854e-09 1.11746e-08
0.05 1.89339e-09 9.28171e-09 1.11751e-08
0.051 1.95303e-09 9.22269e-09 1.11757e-08
0.052 2.02515e-09 9.15118e-09 1.11763e-08
0.053 2.09997e-09 9.07687e-09 1.11768e-08
0.054 2.16939e-09 9.00778e-09 1.11772e-08
0.055 2.22823e-09 8.94906e-09 1.11773e-08
0.056 2.27473e-09 8.90246e-09 1.11772e-08
0.057 2.31029e-09 8.86666e-09 1.1177e-08
0.058 2.33849e-09 8.83819e-09 1.11767e-08
0.059 2.36367e-09 8.81278e-09 1.11764e-08
0.06 2.38946e-09 8.78689e-09 1.11763e-08
0.061 2.41741e-09 8.75902e-09 1.11764e-08
0.062 2.4462e-09 8.73051e-09 1.11767e-08
0.063 2.47143e-09 8.7057e-09 1.11771e-08
0.064 2.48634e-09 8.69131e-09 1.11776e-08
0.065 2.48292e-09 8.6952e-09 1.11781e-08
0.066 2.45373e-09 8.72472e-09 1.11784e-08
0.067 2.39354e-09 8.78499e-09 1.11785e-08
0.068 2.30098e-09 8.87736e-09 1.11783e-08
0.069 2.17934e-09 8.99848e-09 1.11778e-08
0.07 2.03688e-09 9.14015e-09 1.1177e-08
0.071 1.88603e-09 9.29006e-09 1.11761e-08
0.072 1.74187e-09 9.43321e-09 1.11751e-08
0.073 1.62014e-09 9.55406e-09 1.11742e-08
0.074 1.53477e-09 9.63879e-09 1.11736e-08
0.075 1.49582e-09 9.67748e-09 1.11733e-08
0.076 1.5077e-09 9.66572e-09 1.11734e-08
0.077 1.56842e-09 9.60551e-09 1.11739e-08
0.078 1.66971e-09 9.50508e-09 1.11748e-08
0.079 1.79805e-09 9.37779e-09 1.11758e-08
0.08 1.93674e-09 9.24021e-09 1.11769e-08
0.081 2.06823e-09 9.1097e-09 1.11779e-08
0.082 2.17683e-09 9.00185e-09 1.11787e-08
0.083 2.25083e-09 8.92822e-09 1.11791e-08
0.084 2.28429e-09 8.89475e-09 1.1179e-08
0.085 2.2776e-09 8.90101e-09 1.11786e-08
0.086 2.23731e-09 8.94059e-09 1.11779e-08
0.087 2.1747e-09 9.00231e-09 1.1177e-08
0.088 2.10382e-09 9.07229e-09 1.11761e-08
0.089 2.03902e-09 9.13632e-09 1.11753e-08
